"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A",Target
"192.168.0.101",49768,"192.168.0.1",53,2,158,1,79,1,79,47.537151,0.009537999999999158,66261.27070665294,66261.27070665294,0
"192.168.0.101",63894,"192.168.0.1",53,2,165,1,88,1,77,47.555522,0.0477289999999968,14749.942383038555,12906.199585158734,0
"192.168.0.101",56061,"208.67.222.222",443,2,776,1,238,1,538,47.616605,0.05660000000000309,33639.57597172961,76042.40282685097,0
"192.168.0.101",57880,"208.67.222.222",443,2,776,1,430,1,346,48.628496,0.035637999999998726,96526.17992031323,77669.90291262414,0
"192.168.0.101",56970,"192.168.0.1",53,2,444,1,86,1,358,50.150096,0.03451400000000149,19933.939850494593,82980.81937764028,0
"192.168.0.101",52458,"208.67.222.222",443,2,726,1,444,1,282,50.504089,0.10663399999999967,33310.201249132646,21156.47917174641,0
"192.168.0.101",53116,"208.67.222.222",443,2,645,1,302,1,343,50.841106,0.03041499999999786,79434.48956107743,90218.64211738264,0
"192.168.0.101",63365,"192.168.0.1",53,2,168,1,76,1,92,51.198002,0.10086700000000093,6027.739498547537,7296.737287715439,0
"192.168.0.101",51442,"208.67.222.222",443,2,643,1,302,1,341,51.348046,0.03765200000000135,64166.57813661727,72452.99054498837,0
"192.168.0.101",58747,"208.67.222.222",443,2,712,1,302,1,410,51.879052,0.0731970000000004,33006.81721928476,44810.579668565406,0
"192.168.0.101",64157,"208.67.222.222",443,2,776,1,430,1,346,52.13333,0.029916000000000054,114988.6348442303,92525.73873512485,0
"192.168.0.101",51390,"208.67.222.222",443,2,775,1,429,1,346,52.406165,0.09202499999999958,37294.21352893252,30078.782939418772,0
"192.168.0.101",54502,"208.67.222.222",443,2,520,1,302,1,218,52.713156,0.039054000000000144,61863.061402160885,44656.117171096266,0
"192.168.0.101",55886,"208.67.222.222",443,2,392,1,238,1,154,52.99237,0.03044299999999822,62543.113359396615,40469.07335019781,0
"192.168.0.101",62313,"239.255.255.250",1900,4,848,4,848,0,0,53.641546,2.998997000000003,2262.089625298056,0,0
"192.168.0.101",57537,"208.67.222.222",443,2,837,1,427,1,410,53.820539,0.06269900000000206,54482.52763201786,52313.4340260593,0
"192.168.0.101",57797,"208.67.222.222",443,2,520,1,302,1,218,54.001338,0.0335980000000049,71909.04220488266,51907.851657829204,0
"192.168.0.101",51572,"192.168.0.1",53,2,158,1,79,1,79,57.706239,0.0035140000000026816,0,0,0
"192.168.0.101",60788,"192.168.0.1",53,2,165,1,88,1,77,57.717559,0.03731099999999543,18868.43022165276,16509.876443946167,0
"192.168.0.101",58993,"208.67.222.222",443,2,904,1,366,1,538,57.763949,0.03386600000000328,86458.39485028395,127089.11592746657,0
"192.168.0.101",50626,"192.168.0.1",53,2,158,1,79,1,79,67.875358,0.010036999999996965,62967.02201855047,62967.02201855047,0
"192.168.0.101",58055,"192.168.0.1",53,2,165,1,88,1,77,67.8982,0.03167999999999438,22222.222222226166,19444.444444447894,0
"192.168.0.101",64785,"208.67.222.222",443,2,840,1,302,1,538,67.942116,0.03416800000000819,70709.43572932044,125965.81596812714,0
"192.168.0.101",49624,"208.67.222.222",443,2,648,1,302,1,346,69.580343,0.08950300000000766,26993.50859747487,30926.33766465664,0
"192.168.0.101",5353,"224.0.0.251",5353,2,234,2,234,0,0,77.257854,1.2000000012335477e-05,0,0,0
"192.168.0.101",55649,"192.168.0.1",53,2,158,1,79,1,79,78.216113,0.006860999999986461,92114.85206256334,92114.85206256334,0
"192.168.0.101",62260,"192.168.0.1",53,2,165,1,88,1,77,78.259464,0.04220600000000729,16680.092877787007,14595.08126806363,0
"192.168.0.101",65235,"208.67.222.222",443,2,840,1,302,1,538,78.341113,0.03321099999999433,72746.9814218305,129595.61591041327,0
"192.168.0.101",51157,"192.168.0.1",53,2,156,1,78,1,78,79.315314,0.047809999999998354,13051.662832043954,13051.662832043954,0
"192.168.0.101",57131,"192.168.0.1",53,2,220,1,78,1,142,79.315548,0.06971099999999808,8951.241554417771,16295.850009324658,0
"192.168.0.101",62037,"192.168.0.1",53,2,158,1,79,1,79,88.489602,0.030846999999994296,20488.21603397792,20488.21603397792,0
"192.168.0.101",52954,"192.168.0.1",53,2,165,1,88,1,77,89.00782,0.034771000000006325,20246.75735526364,17715.912685855685,0
"192.168.0.101",55862,"208.67.222.222",443,2,776,1,238,1,538,89.240873,0.03394900000000689,56084.126189272545,126778.40289843961,0
"fe80::8be:62a0:772e:a921",5353,"ff02::fb",5353,2,274,2,274,0,0,77.281719,5.5000000003246896e-05,0,0,0
"192.168.0.101",64666,"142.250.199.138",443,18,7779,8,2718,10,5061,4.531731,1.2598140000000004,17259.690716248584,32138.07752572998,1
"192.168.0.101",60752,"142.250.192.14",443,1940,1656859,663,425909,1277,1230950,10.385498,78.138225,43605.70002709941,126027.94598930293,1
"192.168.0.101",55701,"142.250.183.110",443,35,23619,15,4060,20,19559,10.731969,0.5410339999999998,60033.19569564946,289209.18093872117,1
"192.168.0.101",55862,"142.251.42.46",443,24,11176,11,6239,13,4937,11.03162,0.5221339999999994,95592.31921307568,75643.41720707719,1
"192.168.0.101",53898,"142.250.199.131",443,10,5133,5,1683,5,3450,11.288107,0.14928399999999975,90190.50936470099,184882.50582781842,1
"192.168.0.101",55063,"142.250.183.131",443,10,5135,5,1685,5,3450,11.331702,0.16136200000000045,83538.87532380587,171043.98805170934,1
"192.168.0.101",57685,"142.250.192.14",443,19,8732,10,4112,9,4620,14.079039999999999,0.5367910000000009,61282.69661749162,68853.61341751248,1
"192.168.0.101",58722,"172.217.174.66",443,20,11154,9,3737,11,7417,14.113419,0.2474109999999996,120835.37110314435,239827.65519722283,1
"192.168.0.101",50833,"142.250.183.110",443,19,8085,9,3816,10,4269,14.597228,1.8360509999999994,16626.989119583286,18600.790500917465,1
"192.168.0.101",50139,"142.250.199.131",443,82,62195,30,5529,52,56666,14.788111,0.2029999999999994,217891.62561576418,2233142.857142864,1
"192.168.0.101",55832,"172.217.27.214",443,1658,1696019,269,29185,1389,1666834,14.794281,59.28955500000001,3937.961753971673,224907.6080938708,1
"192.168.0.101",58969,"142.250.192.97",443,154,97584,60,9262,94,88322,15.962155,10.381425,7137.363126931033,68061.56187613936,1
"192.168.0.101",53887,"142.250.183.131",443,297,281196,73,8938,224,272258,16.81117,48.291037,1480.688849154347,45102.86246286241,1
"192.168.0.101",50719,"142.250.183.170",443,28,12919,12,4440,16,8479,17.23287,0.3235050000000008,109797.37562016015,209678.36664039144,1
"192.168.0.101",54027,"43.228.93.177",443,17877,20521320,2054,188091,15823,20333229,23.803137,51.729277,29088.51790060781,3144560.3231609054,1
"192.168.0.101",53354,"43.228.93.13",443,3503,4004898,389,40705,3114,3964193,25.095105,10.001690999999997,32558.49435860397,3170818.2146399054,1
"192.168.0.101",49320,"142.250.192.66",443,24,12050,11,4791,13,7259,26.642287,0.3210230000000003,119393.31449771501,180896.69587537326,1
